,a,i,RAAN,NumPlanes,NumSatxPlane,InterRAAN,Eval
0,6535.0,98.0,79.0,10.0,7.0,0.0669381849089034,57.800000000000004
1,6639.0,97.0,65.0,8.0,29.0,3.561158879348896,55.400000000000006
2,6506.0,96.0,96.0,5.0,21.0,0.3299047250858644,3.4000000000000004
3,6499.0,105.0,96.0,1.0,136.0,8.953348382341991,3.0000000000000004
4,6843.0,100.0,79.0,32.0,4.0,4.215068364698547,1.0
5,6457.0,62.0,64.0,129.0,1.0,7.313720992348653,0.0
6,6686.0,115.0,34.0,8.0,29.0,3.561158879348896,0.0
7,6473.0,109.0,98.0,48.0,2.0,3.3164526635980973,0.0
8,6572.0,130.0,109.0,5.0,21.0,0.3299047250858644,0.0
9,6473.0,90.0,91.0,129.0,1.0,7.313720992348653,0.0
10,6432.0,89.0,28.0,61.0,1.0,4.560338926703973,0.0
11,6827.0,110.0,68.0,1.0,10.0,1.484928310949255,0.0
12,6848.0,117.0,75.0,59.0,4.0,4.2782784063644375,0.0
13,6840.0,81.0,62.0,21.0,4.0,4.412684962034495,0.0
14,6642.0,96.0,64.0,41.0,1.0,7.638857410511863,0.0
15,6566.0,111.0,23.0,61.0,1.0,4.560338926703973,0.0
16,6850.0,105.0,92.0,80.0,1.0,3.758649488282812,0.0
17,6848.0,81.0,78.0,2.0,11.0,8.905138004143465,0.0
18,6913.0,71.0,88.0,14.0,10.0,1.3482313049904748,0.0
19,6803.0,83.0,91.0,1.0,10.0,1.484928310949255,0.0
20,6803.0,84.0,91.0,2.0,11.0,8.905138004143465,0.0
21,6535.0,105.0,96.0,1.0,136.0,0.0669381849089034,0.0
22,6916.0,88.0,69.0,2.0,11.0,0.4891160643897396,0.0
23,6909.0,102.0,61.0,80.0,1.0,9.156881287882028,0.0
24,6487.0,115.0,61.0,5.0,21.0,0.3299047250858644,0.0
25,6893.0,98.0,79.0,14.0,10.0,1.3482313049904748,4.800000000000001
26,6462.0,115.0,91.0,61.0,1.0,4.560338926703973,0.0
27,6839.0,54.0,102.0,1.0,10.0,1.484928310949255,0.0
28,6490.0,96.0,93.0,41.0,1.0,9.476983956676555,0.0
29,6639.0,97.0,78.0,8.0,29.0,3.561158879348896,32.8
30,6430.0,81.0,75.0,59.0,4.0,8.137302063542815,0.0
31,6918.0,85.0,57.0,21.0,4.0,7.85719954930193,0.0
32,6531.0,84.0,61.0,8.0,3.0,4.560338926703973,0.0
33,6499.0,102.0,61.0,1.0,136.0,9.156881287882028,0.0
34,6943.0,135.0,85.0,80.0,1.0,9.156881287882028,0.0
35,6719.0,107.0,85.0,4.0,56.0,9.5238439333167,0.0
36,6969.0,84.0,52.0,39.0,2.0,9.658181551754248,0.0
37,6437.0,105.0,98.0,41.0,1.0,3.3164526635980973,0.0
38,6671.0,88.0,78.0,2.0,11.0,9.156881287882028,0.0
39,6800.0,82.0,84.0,8.0,3.0,9.5238439333167,0.0
40,6948.0,110.0,115.0,39.0,2.0,9.658181551754248,0.0
41,6535.0,98.0,79.0,10.0,7.0,8.137302063542815,41.2
42,6909.0,102.0,61.0,14.0,10.0,1.3482313049904748,0.0
43,6499.0,105.0,96.0,1.0,136.0,0.0669381849089034,3.0000000000000004
44,6850.0,82.0,92.0,4.0,7.0,9.5238439333167,0.0
45,6973.0,108.0,97.0,14.0,10.0,1.3482313049904748,0.0
46,6484.0,121.0,37.0,61.0,1.0,4.560338926703973,0.0
47,6871.0,106.0,125.0,1.0,10.0,1.484928310949255,0.0
48,6639.0,97.0,65.0,8.0,29.0,3.561158879348896,55.400000000000006
49,6454.0,105.0,92.0,2.0,89.0,3.758649488282812,0.0
