,a1,a2,RAAN1,RAAN2,Eval,Users
0,6814,6849,137,70,2,1
1,6814,6849,160,70,2,1
2,6829,6849,45,70,2,1
3,6828,6835,77,38,0,0
4,6854,6852,138,50,0,0
5,6791,6807,154,22,0,0
6,6848,6868,98,71,0,0
7,6799,6845,65,91,0,0
8,6802,6872,191,24,0,0
9,6835,6872,191,15,0,0
10,6845,6842,91,70,0,0
11,6814,6849,137,15,0,0
12,6814,6849,194,15,0,0
13,6814,6849,10,-3,0,0
14,6879,6809,121,78,0,0
15,6814,6849,42,155,0,0
16,6854,6834,175,14,0,0
17,6811,6884,173,292,0,0
18,6788,6825,125,260,0,0
19,6879,6840,154,78,0,0
20,6863,6822,96,39,0,0
21,6824,6796,121,-8,0,0
22,6860,6849,45,47,0,0
23,6792,6805,158,-35,0,0
24,6860,6849,160,47,0,0
25,6849,6836,121,15,0,0
26,6858,6905,233,11,0,0
27,6834,6794,43,30,0,0
28,6823,6858,138,115,0,0
29,6830,6854,261,-55,0,0
