,a1,a2,RAAN1,RAAN2,Eval,Users
0,6814,6849,137,70,2,1
1,6849,6849,135,70,2,1
2,6843,6815,43,129,0,0
3,6830,6865,185,214,0,0
4,6831,6869,138,163,0,0
5,6824,6862,137,180,0,0
6,6800,6870,64,6,0,0
7,6836,6853,115,238,0,0
8,6818,6850,60,303,0,0
9,6823,6870,48,281,0,0
10,6838,6874,140,206,0,0
11,6823,6857,84,223,0,0
12,6781,6863,131,187,0,0
13,6838,6839,214,48,0,0
14,6846,6866,152,74,0,0
15,6812,6867,39,240,0,0
16,6812,6816,74,187,0,0
17,6809,6856,67,205,0,0
18,6814,6883,149,300,0,0
19,6819,6887,194,130,0,0
20,6831,6875,184,100,0,0
21,6848,6845,163,132,0,0
22,6838,6865,185,133,0,0
23,6834,6834,81,156,0,0
24,6823,6865,20,197,0,0
25,6838,6815,43,129,0,0
26,6861,6862,185,133,0,0
27,6838,6848,140,180,0,0
28,6846,6793,238,194,0,0
29,6819,6808,125,255,0,0
