,a1,a2,RAAN1,RAAN2,Eval,Users
0,6765,6802,137,136,41,21
1,6775,6802,137,136,38,20
2,6765,6822,137,136,36,21
3,6762,6839,99,156,2,1
4,6764,6822,137,136,36,20
5,6755,6813,112,106,2,1
6,6785,6869,176,104,0,0
7,6806,6826,153,251,0,0
8,6765,6858,137,269,38,22
9,6810,6838,154,261,0,0
10,6754,6803,144,153,4,2
11,6804,6827,137,76,29,18
12,6768,6833,165,127,2,1
13,6770,6855,162,81,2,1
14,6770,6839,137,76,33,19
15,6788,6853,140,308,0,0
16,6787,6819,103,91,0,0
17,6783,6822,168,87,4,2
18,6777,6811,171,148,0,0
19,6816,6856,121,107,0,0
20,6794,6798,133,151,0,0
21,6787,6813,162,281,0,0
22,6804,6827,137,269,30,18
23,6755,6811,124,275,0,0
24,6767,6841,114,101,4,2
25,6759,6827,137,304,30,16
26,6784,6849,156,307,4,2
27,6781,6827,128,104,0,0
28,6770,6840,136,77,32,19
29,6770,6822,137,136,33,19
30,6775,6802,137,269,37,21
31,6775,6802,137,77,30,18
32,6808,6873,97,299,0,0
33,6765,6822,137,242,30,18
34,6760,6803,99,168,2,1
35,6770,6812,137,76,34,19
36,6770,6802,136,77,28,16
37,6789,6827,120,127,0,0
38,6761,6843,122,270,0,0
39,6764,6840,136,304,29,16
40,6770,6812,136,269,31,17
41,6821,6839,131,259,2,1
42,6750,6805,102,104,2,2
43,6753,6805,175,148,0,0
44,6779,6812,109,253,0,0
45,6804,6858,137,269,28,17
46,6768,6810,133,79,5,3
47,6765,6812,136,269,33,19
48,6759,6827,137,269,40,21
49,6766,6814,147,152,0,0
50,6812,6828,169,90,1,1
51,6764,6827,136,304,29,16
52,6770,6827,137,136,34,19
53,6764,6822,136,304,31,17
54,6759,6858,137,242,30,16
55,6770,6822,137,76,34,19
56,6764,6822,137,304,29,17
57,6770,6837,136,271,25,14
58,6820,6851,175,308,0,0
59,6773,6823,125,51,0,0
60,6759,6822,137,242,30,16
61,6768,6830,136,138,25,13
62,6754,6803,103,106,1,1
63,6770,6822,137,77,33,19
64,6773,6808,170,112,0,0
65,6770,6827,137,77,34,19
66,6764,6819,165,97,2,1
67,6789,6834,151,55,4,2
68,6767,6787,146,115,0,0
69,6760,6856,105,76,7,4
70,6778,6826,108,47,2,1
71,6804,6839,137,136,29,18
72,6770,6858,137,76,31,18
73,6770,6840,137,77,31,19
74,6764,6840,136,77,36,21
75,6744,6826,125,221,0,0
76,6755,6793,108,46,2,1
77,6778,6818,102,40,0,0
78,6769,6853,162,62,0,0
79,6761,6821,121,172,0,0
80,6781,6815,131,100,2,1
81,6770,6812,137,269,30,17
82,6775,6822,137,76,37,21
83,6778,6825,143,112,0,0
84,6765,6802,137,76,36,21
85,6804,6822,137,76,30,18
86,6873,6843,229,253,4,2
87,6780,6779,44,196,2,1
88,6869,6822,340,94,0,0
89,6792,6838,336,317,0,0
90,6860,6875,179,198,0,0
91,6887,6816,98,118,0,0
92,6887,6802,122,314,4,2
93,6830,6781,259,142,2,1
94,6819,6831,272,16,0,0
95,6836,6873,0,92,3,2
96,6806,6882,324,265,0,0
97,6785,6782,121,339,0,0
98,6798,6825,125,211,0,0
99,6869,6783,204,1,2,1
