,a1,a2,RAAN1,RAAN2
0,6787,6778,80,76
5,6787,6785,80,77
11,6790,6778,80,76
15,6790,6778,268,76
16,6796,6803,58,55
17,6802,6761,99,109
18,6820,6776,251,88
19,6813,6803,270,64
20,6774,6766,91,82
21,6790,6765,298,84
22,6770,6783,277,89
23,6790,6778,246,114
25,6827,6778,259,51
26,6801,6785,80,67
28,6804,6785,80,76
29,6785,6781,244,43
31,6784,6768,76,72
32,6787,6797,80,77
34,6787,6778,80,67
37,6787,6797,80,76
39,6802,6801,41,94
40,6795,6782,303,50
41,6772,6784,264,72
42,6835,6776,246,80
43,6813,6773,77,40
44,6801,6778,80,76
46,6787,6799,285,89
49,6776,6785,260,108
50,6809,6790,71,48
51,6787,6785,268,77
52,6787,6785,268,67
53,6811,6788,72,64
55,6801,6799,247,54
56,6791,6774,49,91
57,6817,6771,264,100
58,6791,6767,47,82
59,6793,6782,48,81
62,6812,6764,57,79
63,6799,6784,268,77
64,6811,6789,97,67
66,6787,6784,268,77
67,6769,6798,260,106
69,6804,6778,268,67
70,6804,6797,298,57
71,6813,6783,70,57
72,6811,6784,306,77
73,6805,6798,254,57
75,6797,6801,260,71
76,6780,6772,274,62
77,6807,6800,112,91
79,6799,6785,268,76
80,6804,6784,80,76
81,6788,6792,262,97
83,6804,6778,80,76
85,6791,6790,97,71
86,6811,6785,80,67
87,6825,6785,80,76
88,6806,6786,266,44
90,6776,6777,257,96
91,6811,6787,113,46
92,6799,6778,80,67
94,6783,6793,304,71
95,6797,6804,229,41
96,6801,6787,238,74
99,6811,6778,268,67
100,6801,6791,304,40
101,6787,6785,268,76
102,6808,6777,110,113
103,6801,6784,268,67
105,6769,6768,248,81
106,6796,6803,243,62
107,6790,6816,83,115
109,6811,6778,80,76
110,6811,6784,80,76
112,6811,6785,268,67
113,6787,6784,80,67
114,6796,6772,287,61
115,6783,6803,75,77
116,6787,6784,80,76
117,6811,6784,80,67
120,6801,6785,268,76
121,6790,6785,268,76
122,6801,6803,43,36
123,6792,6777,81,56
125,6826,6765,289,109
126,6792,6770,234,58
127,6789,6781,259,106
128,6796,6788,102,68
129,6804,6797,80,76
130,6783,6760,110,82
131,6803,6794,48,45
133,6790,6761,76,40
134,6801,6778,80,77
135,6814,6804,71,110
136,6799,6779,260,63
142,6783,6793,277,99
143,6774,6785,102,60
145,6805,6779,114,112
146,6804,6785,80,67
147,6820,6794,62,38
149,6795,6769,117,52
0,6876,6870,197,332
1,6820,6826,210,289
2,6831,6796,334,28
3,6820,6832,121,131
4,6797,6795,290,123
5,6782,6834,325,154
6,6876,6868,244,12
7,6846,6802,243,293
8,6785,6884,294,151
9,6872,6830,91,247
10,6886,6815,62,128
11,6819,6853,194,317
12,6876,6886,130,190
13,6811,6785,343,75
14,6819,6833,56,1
15,6790,6808,123,3
16,6817,6797,208,163
17,6862,6858,48,2
18,6781,6794,36,29
19,6856,6822,305,25
20,6820,6878,223,298
21,6865,6790,316,337
22,6815,6858,49,251
23,6810,6825,248,13
24,6853,6808,183,322
25,6882,6811,32,231
26,6783,6809,261,19
27,6877,6868,63,172
28,6865,6884,192,65
29,6788,6824,119,53
30,6849,6868,224,263
31,6848,6795,315,198
32,6824,6797,13,66
33,6823,6856,254,160
34,6854,6833,209,344
35,6830,6825,84,349
36,6880,6827,288,245
37,6806,6845,185,28
38,6857,6849,154,43
39,6864,6886,3,84
40,6844,6825,185,7
41,6856,6884,74,218
42,6876,6859,72,204
43,6825,6784,296,66
44,6858,6853,130,325
45,6797,6883,206,355
46,6828,6828,151,276
47,6842,6845,192,227
48,6874,6790,147,235
