,a1,a2,RAAN1,RAAN2,Eval,Users
0,6827,6784,80,76,27,17
1,6790,6793,268,76,26,14
2,6801,6867,80,77,23,13
3,6786,6797,101,77,20,11
4,6787,6778,76,257,20,11
5,6799,6885,80,76,19,12
6,6857,6785,75,76,19,11
7,6785,6779,75,81,15,9
8,6799,6797,80,77,27,16
9,6825,6785,81,67,18,10
10,6842,6824,63,51,0,0
11,6799,6784,72,77,16,8
12,6819,6818,110,32,0,0
13,6805,6815,73,98,2,1
14,6809,6770,140,80,14,7
15,6827,6784,76,257,14,8
16,6790,6797,101,329,6,3
17,6796,6789,286,85,2,1
18,6827,6784,101,67,19,11
19,6811,6797,81,77,23,13
20,6790,6778,76,76,24,12
21,6811,6885,80,76,21,13
22,6801,6867,76,257,12,6
23,6789,6782,53,239,0,0
24,6804,6793,80,77,26,14
25,6845,6795,96,48,2,1
26,6822,6786,40,89,2,1
27,6799,6784,57,76,22,12
28,6833,6784,81,44,3,2
29,6790,6794,129,69,2,2
30,6804,6807,72,77,12,6
31,6868,6768,46,39,2,1
32,6806,6801,73,51,0,0
33,6822,6826,87,70,6,3
34,6837,6808,113,40,0,0
35,6797,6793,134,106,2,1
36,6799,6785,101,76,20,13
37,6811,6772,101,77,20,10
38,6807,6766,46,47,2,1
39,6790,6779,75,257,18,9
40,6808,6771,72,89,4,2
41,6825,6785,75,67,20,10
42,6807,6875,96,45,2,1
43,6804,6885,81,76,15,9
44,6788,6896,92,58,4,2
45,6795,6901,83,86,0,0
46,6811,6785,80,77,30,17
47,6825,6784,80,76,25,15
48,6822,6795,254,31,0,0
49,6790,6784,81,77,23,13
50,6799,6779,57,77,20,11
51,6825,6807,81,77,16,9
52,6811,6784,80,77,27,15
53,6790,6793,268,67,32,16
54,6781,6782,246,88,4,2
55,6804,6807,254,77,12,6
56,6812,6804,86,52,6,3
57,6825,6785,80,67,21,12
58,6821,6817,75,99,6,3
59,6795,6799,258,68,6,3
60,6792,6767,40,81,9,5
61,6811,6797,101,67,16,8
62,6801,6763,60,277,2,1
63,6799,6793,93,99,4,2
64,6772,6784,67,34,17,9
65,6793,6786,87,298,4,2
66,6774,6782,109,76,15,9
67,6788,6808,244,87,4,2
68,6804,6785,254,77,17,9
69,6823,6791,40,62,0,0
70,6775,6768,93,82,8,4
71,6820,6770,43,32,2,2
72,6819,6789,232,31,8,4
73,6805,6875,45,89,4,2
74,6799,6885,57,76,12,7
75,6801,6784,80,76,32,18
76,6788,6795,77,301,18,10
77,6795,6806,98,105,2,1
78,6799,6772,76,77,20,11
79,6827,6807,80,67,25,16
80,6825,6807,80,67,23,14
81,6772,6777,82,112,1,1
82,6799,6867,57,77,13,7
83,6815,6807,260,69,2,1
84,6834,6807,71,99,2,1
85,6828,6779,84,41,1,1
86,6787,6778,81,76,27,16
87,6827,6784,57,77,18,10
88,6827,6784,80,77,23,14
89,6810,6792,52,92,3,2
90,6804,6793,75,329,8,4
91,6779,6787,261,100,4,2
92,6782,6880,69,68,2,1
93,6801,6772,76,77,18,9
94,6865,6776,49,62,0,0
95,6804,6867,57,77,15,8
96,6825,6790,61,82,3,2
97,6787,6778,76,54,24,13
98,6796,6796,42,61,0,0
99,6804,6788,24,37,0,0
100,6825,6785,72,67,14,7
101,6790,6779,75,67,28,15
102,6825,6797,80,77,23,14
103,6778,6796,110,69,1,1
104,6815,6788,109,96,0,0
105,6804,6785,76,77,18,10
106,6813,6777,32,60,2,1
107,6825,6807,75,329,10,5
108,6817,6795,98,48,4,2
109,6798,6781,87,70,7,4
110,6816,6866,79,65,7,4
111,6799,6784,80,77,25,14
112,6827,6797,81,76,17,10
113,6834,6822,66,70,5,3
114,6806,6760,44,49,2,1
115,6799,6798,69,79,10,6
116,6807,6797,112,74,7,4
117,6800,6881,44,39,2,1
118,6790,6797,80,77,26,14
119,6811,6786,55,40,4,2
120,6825,6807,75,76,14,8
121,6799,6885,80,67,11,7
122,6796,6839,110,105,0,0
123,6781,6878,316,44,0,0
124,6851,6834,122,335,1,1
125,6836,6835,145,42,0,0
126,6869,6877,45,72,2,1
127,6785,6789,177,309,0,0
128,6825,6802,154,109,0,0
129,6843,6848,112,231,4,3
130,6853,6852,343,241,0,0
131,6886,6801,96,152,0,0
132,6822,6875,64,306,2,1
133,6778,6883,145,349,0,0
134,6791,6822,96,310,2,1
135,6841,6790,22,346,0,0
136,6802,6877,292,63,0,0
137,6841,6887,243,268,2,1
138,6785,6797,160,230,4,2
139,6810,6806,218,307,4,2
140,6817,6836,269,159,10,5
141,6885,6830,163,16,0,0
142,6857,6793,0,250,2,1
143,6791,6839,113,100,2,1
144,6836,6852,300,167,0,0
145,6822,6784,113,94,0,0
146,6875,6782,51,70,4,2
147,6875,6824,66,123,0,0
148,6822,6833,309,102,0,0
149,6827,6796,88,273,3,2
