,a1,a2,RAAN1,RAAN2,Eval,Users
0,6776,6781,68,136,41,24
1,6759,6794,77,136,41,23
2,6775,6811,76,136,39,23
3,6775,6794,76,136,44,25
4,6759,6797,38,131,0,0
5,6793,6821,86,139,8,5
6,6778,6808,42,127,1,1
7,6773,6807,100,134,4,2
8,6793,6793,30,122,0,0
9,6759,6794,77,77,19,10
10,6777,6776,59,151,2,1
11,6806,6781,68,136,33,20
12,6760,6794,77,77,23,13
13,6759,6803,43,103,2,1
14,6780,6811,83,162,0,0
15,6784,6811,76,136,38,23
16,6759,6811,78,136,29,17
17,6765,6794,77,70,23,12
18,6760,6767,76,67,37,21
19,6773,6761,80,150,15,8
20,6760,6738,77,76,27,14
21,6742,6770,72,102,6,3
22,6762,6761,91,91,6,3
23,6773,6778,57,148,6,3
24,6760,6738,77,136,60,31
25,6774,6794,68,136,37,23
26,6760,6790,68,77,33,19
27,6806,6781,54,136,34,20
28,6778,6793,75,170,13,7
29,6759,6783,117,136,36,21
30,6754,6800,65,165,2,1
31,6739,6809,80,113,19,10
32,6763,6743,105,60,2,1
33,6788,6784,15,96,0,0
34,6776,6767,76,67,38,20
35,6759,6790,78,77,17,10
36,6779,6781,78,136,39,23
37,6776,6745,30,88,7,4
38,6775,6767,76,76,24,12
39,6784,6811,68,136,30,18
40,6760,6781,68,77,37,21
41,6741,6777,99,167,3,2
42,6759,6790,68,77,30,18
43,6767,6785,109,143,0,0
44,6767,6773,53,96,3,2
45,6768,6783,76,136,48,28
46,6760,6767,78,67,27,14
47,6791,6828,30,148,0,0
48,6776,6781,78,136,39,24
49,6761,6782,105,99,2,1
50,6751,6793,42,146,4,2
51,6760,6767,76,136,54,31
52,6782,6788,97,98,2,1
53,6759,6783,117,76,26,16
54,6762,6790,48,112,2,1
55,6760,6783,77,136,47,26
56,6777,6753,85,62,4,2
57,6772,6779,88,111,6,3
58,6819,6783,101,133,2,1
59,6776,6794,68,67,18,9
60,6760,6781,68,136,48,28
61,6779,6794,54,86,16,9
62,6760,6767,78,136,44,24
63,6776,6738,68,76,38,20
64,6746,6786,106,102,5,3
65,6779,6738,78,136,51,27
66,6759,6781,54,76,27,14
67,6760,6822,90,174,4,3
68,6776,6788,144,160,4,2
69,6784,6790,68,136,38,22
70,6776,6783,68,136,40,23
71,6772,6774,57,104,6,3
72,6746,6793,62,68,10,6
73,6774,6769,111,172,0,0
74,6760,6811,68,136,38,23
75,6757,6786,38,92,2,1
76,6784,6781,78,136,39,24
77,6782,6778,60,96,2,1
78,6772,6794,29,115,0,0
79,6779,6781,54,136,37,21
80,6779,6781,54,77,26,14
81,6784,6811,30,103,0,0
82,6760,6722,102,83,3,2
83,6759,6783,68,77,35,20
84,6784,6783,68,136,39,22
85,6808,6885,32,30,0,0
86,6822,6876,287,106,0,0
87,6811,6865,39,352,0,0
88,6821,6811,136,354,15,10
89,6862,6867,30,249,0,0
90,6874,6830,329,44,4,2
91,6822,6881,102,68,1,1
92,6821,6864,340,345,0,0
93,6788,6868,77,176,18,10
94,6808,6823,262,101,4,2
95,6811,6799,235,234,1,1
96,6789,6881,23,268,2,1
97,6834,6838,123,287,0,0
98,6807,6861,149,225,3,2
99,6816,6791,200,4,0,0
