,a1,a2,RAAN1,RAAN2
1,6790,6820,137,55
2,6790,6838,137,93
4,6783,6834,80,77
5,6777,6803,77,75
6,6777,6820,77,77
7,6833,6801,64,66
8,6775,6834,137,80
9,6791,6829,75,101
10,6817,6789,85,80
11,6790,6820,95,150
12,6777,6838,77,76
14,6777,6789,77,76
16,6779,6822,112,189
17,6777,6825,77,35
18,6791,6846,115,107
19,6796,6828,111,56
20,6778,6803,76,40
22,6760,6794,54,44
23,6793,6821,165,79
24,6777,6816,121,110
25,6786,6803,80,76
26,6765,6822,81,81
27,6805,6791,93,46
28,6790,6820,137,93
29,6790,6803,137,40
30,6771,6837,69,68
31,6817,6820,137,93
32,6790,6820,76,75
33,6787,6795,73,49
34,6768,6788,84,103
35,6799,6832,49,108
36,6779,6804,63,54
37,6775,6825,137,35
38,6757,6806,119,75
39,6777,6820,76,101
40,6796,6839,63,109
41,6775,6838,232,80
42,6770,6817,127,120
43,6774,6798,90,95
44,6817,6820,76,90
45,6777,6803,95,76
46,6777,6803,77,80
47,6834,6802,102,70
48,6814,6836,171,118
49,6784,6814,166,47
0,6853,6876,29,58
1,6862,6868,321,15
2,6871,6830,286,134
3,6842,6821,358,337
4,6885,6830,226,169
