,a1,a2,RAAN1,RAAN2,Eval,Users
0,6790,6817,67,184,1.9900497512437811,8
1,6836,6792,76,234,1.08,6
2,6799,6792,278,232,1.0746268656716418,4
3,6806,6862,315,328,0.934010152284264,4
4,6792,6808,75,261,0.7326732673267327,4
5,6873,6789,192,231,0.4824120603015075,3
6,6869,6790,245,231,0.48,3
7,6884,6866,270,117,0.024539877300613498,1
8,6799,6792,76,234,2.746268656716418,8
9,6864,6771,194,239,0.0,0
10,6765,6856,26,141,0.0,0
11,6798,6822,46,238,0.11,1
12,6805,6814,83,181,0.0,0
13,6832,6825,95,330,0.07142857142857142,1
14,6850,6824,220,227,0.0,0
15,6791,6840,221,83,0.0,0
16,6880,6856,222,209,0.0,0
17,6856,6786,337,197,0.06060606060606061,1
18,6827,6805,270,307,0.32673267326732675,3
19,6873,6796,300,101,0.20408163265306123,2
20,6790,6796,300,184,0.0,0
21,6790,6831,67,184,2.0202020202020203,8
22,6807,6784,187,224,0.33663366336633666,2
23,6790,6870,41,307,0.31088082901554404,3
24,6869,6789,206,243,0.0,0
25,6799,6808,278,232,1.0495049504950495,4
26,6792,6834,187,151,0.11282051282051282,1
27,6884,6870,53,126,0.0,0
28,6818,6787,92,235,0.03015075376884422,1
29,6880,6792,99,232,1.5151515151515151,5
30,6832,6825,95,267,0.06965174129353234,1
31,6794,6766,289,213,0.0,0
32,6770,6844,24,139,0.0,0
33,6880,6790,209,267,0.1791044776119403,2
34,6885,6811,36,109,0.0,0
35,6819,6881,263,270,0.0,0
36,6797,6833,-1,71,0.14358974358974358,2
37,6788,6786,159,197,0.05970149253731343,1
38,6852,6803,312,314,0.5125628140703518,3
39,6792,6808,159,261,0.0,0
40,6792,6840,210,101,0.3434343434343434,2
41,6880,6790,99,278,0.03,1
42,6860,6809,88,275,0.0,0
43,6837,6817,67,184,0.3076923076923077,3
44,6840,6784,41,194,0.0,0
45,6873,6786,254,259,0.1658291457286432,1
46,6885,6803,261,252,0.0,0
47,6849,6788,245,277,0.0,0
48,6817,6852,191,333,0.0,0
49,6883,6813,295,202,0.020833333333333332,1
