,a1,a2,RAAN1,RAAN2,Eval,Users
0,6811,6794,296,80,60,31
1,6800,6820,293,81,42,27
2,6875,6815,47,73,28,15
3,6791,6785,193,205,6,3
4,6783,6789,128,209,4,2
5,6889,6803,18,88,14,7
6,6779,6820,342,232,13,7
7,6799,6811,279,85,18,10
8,6788,6798,233,270,30,15
9,6791,6814,130,89,10,6
10,6877,6852,344,49,6,3
11,6770,6815,308,306,14,7
12,6784,6807,198,199,4,2
13,6817,6795,130,293,0,0
14,6782,6858,271,228,26,14
15,6850,6811,156,301,5,3
16,6771,6766,289,191,4,2
17,6825,6782,304,322,16,9
18,6861,6835,325,270,21,11
19,6769,6784,225,192,13,7
20,6811,6778,340,321,6,4
21,6841,6834,299,81,33,19
22,6755,6785,302,163,15,8
23,6823,6794,102,288,4,2
24,6817,6826,127,270,18,9
25,6793,6795,223,254,4,2
26,6875,6815,130,85,18,10
27,6864,6866,313,47,10,5
28,6782,6781,271,230,32,16
29,6833,6780,301,331,13,7
30,6861,6814,130,85,16,9
31,6782,6790,298,118,12,6
32,6832,6866,292,294,0,0
33,6841,6834,296,76,24,12
34,6789,6794,232,80,76,39
35,6880,6818,99,65,18,11
36,6830,6782,332,312,18,9
37,6800,6834,299,76,26,13
38,6790,6814,202,219,6,3
39,6841,6829,120,350,4,2
40,6796,6802,206,189,5,3
41,6789,6820,293,81,42,27
42,6783,6781,212,113,2,1
43,6839,6804,140,286,2,1
44,6836,6814,130,13,0,0
45,6861,6798,232,239,14,7
46,6805,6804,92,101,14,7
47,6865,6814,182,355,6,3
48,6787,6825,171,230,16,8
49,6808,6871,313,185,10,5
