,a1,a2,RAAN1,RAAN2,Eval,Users
0,6773,6759,81,76,30835.64433368257,33
1,6792,6760,70,78,30574.218522314528,43
2,6774,6782,81,70,30553.667958319296,46
3,6774,6747,81,77,29823.9514259302,34
4,6774,6760,81,75,29500.754737495507,34
5,6761,6760,120,78,20288.915898156876,29
6,6796,6759,78,62,18833.187577695902,28
7,6742,6771,38,131,1377.1127954965996,3
8,6777,6748,72,74,16570.117904398012,23
9,6798,6770,70,70,15734.332755465133,23
10,6788,6757,110,76,16792.61579884649,23
11,6831,6753,95,67,13823.485466680988,19
12,6803,6739,66,69,17022.27751889707,21
13,6778,6760,77,89,24445.910317395126,33
14,6763,6749,74,81,29957.03599506211,37
15,6831,6738,86,114,7209.9751359191905,11
16,6759,6755,107,105,2056.2658547680985,3
17,6742,6731,140,60,13688.933109021322,26
18,6767,6760,91,75,18676.555760103256,26
19,6824,6743,20,81,20890.885790273263,31
20,6793,6764,89,105,6544.073877984065,9
21,6818,6723,80,63,22230.923156394056,35
22,6836,6821,70,114,3134.5580120595077,3
23,6756,6754,93,67,15565.011854659972,22
24,6824,6739,57,82,23562.6165060129,37
25,6796,6759,81,62,17701.561931565626,28
26,6819,6743,26,78,21014.933954041873,29
27,6836,6821,70,150,3134.5580120595077,3
28,6789,6760,106,94,4634.535421355879,7
29,6774,6747,81,82,25937.021527574816,34
30,6755,6757,51,98,6311.807576080497,10
31,6824,6747,78,72,24594.738161425692,34
32,6824,6739,57,66,14218.288725441173,19
33,6792,6759,77,70,30293.811251072053,41
34,6767,6760,91,70,18706.483645618377,31
35,6774,6747,104,77,21305.39057003388,29
36,6755,6776,68,130,12925.655878362104,17
37,6775,6756,122,49,2336.0246694098932,4
38,6766,6752,58,57,6738.461677097577,7
39,6779,6751,91,44,6851.077631856626,10
40,6792,6759,70,64,13687.750107055625,22
41,6774,6770,81,62,21258.03994757809,34
42,6783,6771,94,48,3362.3127317237486,5
43,6803,6739,118,82,22606.505317023737,37
44,6837,6761,13,75,13991.029620473932,19
45,6836,6821,81,150,8544.824168560266,13
46,6776,6748,81,44,20859.16897497468,31
47,6778,6760,81,89,24727.338532627677,37
48,6826,6843,65,188,2328.1465431215856,4
49,6856,6805,175,199,1299.0962715145433,2
