,a1,a2,RAAN1,RAAN2,Eval,Users
0,6740,6768,84,73,477.1182266009852,55
1,6779,6743,70,84,400.2463054187192,50
2,6768,6762,84,71,371.6009852216749,47
3,6759,6768,79,74,368.6453201970444,45
4,6740,6816,77,87,281.58620689655174,42
5,6740,6762,84,73,482.00985221674875,54
6,6769,6754,90,59,87.93103448275863,21
7,6768,6800,89,72,208.31683168316832,40
8,6784,6799,70,80,268.4306930693069,43
9,6723,6812,100,51,21.280788177339904,9
10,6781,6799,70,70,176.15841584158414,32
11,6776,6768,84,93,167.8226600985222,34
12,6742,6800,85,88,187.74384236453201,32
13,6751,6790,50,72,99.81773399014779,23
14,6758,6754,57,104,22.965517241379313,9
15,6740,6800,77,87,294.4729064039409,41
16,6758,6758,100,95,14.06930693069307,7
17,6740,6756,85,71,479.615763546798,54
18,6729,6800,73,68,321.9704433497537,40
19,6776,6768,79,74,327.18811881188117,41
20,6784,6803,64,77,156.990099009901,32
21,6771,6762,84,73,342.51724137931035,43
22,6748,6734,85,86,331.6354679802956,41
23,6784,6794,50,36,5.00990099009901,4
24,6771,6762,84,87,255.70443349753697,38
25,6776,6817,74,73,156.35643564356434,28
26,6732,6800,46,70,67.24630541871922,17
27,6737,6807,37,53,9.665024630541872,6
28,6776,6806,75,87,162.92079207920793,30
29,6767,6768,59,86,181.74384236453201,33
30,6768,6756,84,73,419.2118226600985,50
31,6770,6759,121,57,22.866995073891623,11
32,6746,6792,68,75,272.3645320197044,38
33,6732,6749,79,74,520.768472906404,52
34,6717,6718,73,70,419.84236453201964,44
35,6740,6762,77,88,374.34482758620686,46
36,6741,6749,103,82,169.0,29
37,6760,6782,62,40,28.610837438423644,11
38,6754,6765,89,80,281.37931034482756,40
39,6727,6756,63,87,329.17241379310343,43
40,6779,6743,70,87,355.62561576354676,47
41,6768,6800,84,71,306.7722772277228,48
42,6729,6817,73,68,307.98029556650243,40
43,6771,6800,77,73,238.3019801980198,37
44,6722,6741,31,97,7.349753694581281,4
45,6740,6800,84,73,364.48275862068965,49
46,6768,6800,84,73,311.049504950495,48
47,6776,6816,74,72,170.1980198019802,30
48,6790,6866,183,318,4.514851485148514,4
49,6788,6844,65,144,41.524752475247524,18
