,a1,a2,RAAN1,RAAN2,Eval,Users
0,6746,6790,84,70,100,50
1,6804,6794,68,80,96,48
2,6802,6794,68,80,94,47
3,6758,6790,84,80,80,40
4,6799,6819,81,93,62,31
5,6746,6790,84,67,94,47
6,6809,6815,52,53,12,6
7,6757,6772,91,38,20,10
8,6782,6731,78,76,86,43
9,6801,6700,67,48,35,18
10,6795,6743,79,83,74,37
11,6758,6793,71,80,92,46
12,6764,6790,75,79,80,40
13,6798,6803,42,68,27,14
14,6794,6834,78,70,64,32
15,6796,6751,84,80,70,35
16,6782,6812,63,84,54,27
17,6798,6759,78,86,80,40
18,6776,6789,104,50,12,6
19,6794,6787,84,70,84,42
20,6805,6746,42,69,58,29
21,6796,6799,70,88,60,30
22,6758,6793,75,70,80,40
23,6796,6790,84,82,76,38
24,6796,6714,84,70,86,43
25,6803,6812,98,44,6,3
26,6802,6794,84,80,68,34
27,6802,6806,95,53,20,10
28,6791,6753,50,43,10,5
29,6758,6751,68,80,92,46
30,6751,6740,62,104,20,10
31,6794,6834,68,64,50,25
32,6796,6809,68,59,54,27
33,6786,6794,84,67,88,44
34,6772,6782,66,57,52,26
35,6786,6821,99,45,6,3
36,6803,6765,103,88,54,27
37,6741,6794,48,47,8,4
38,6796,6805,107,48,10,5
39,6748,6776,51,67,42,21
40,6794,6751,84,80,70,35
41,6783,6727,45,52,16,8
42,6758,6793,79,83,66,33
43,6799,6743,81,93,64,32
44,6778,6762,46,45,9,5
45,6764,6794,75,80,78,39
46,6810,6836,176,147,4,2
47,6794,6826,129,314,8,4
48,6796,6780,91,261,10,5
49,6840,6811,81,122,30,15
