,a1,a2,RAAN1,RAAN2
0,6758,6793,84,70
1,6794,6794,68,80
2,6804,6793,68,80
3,6746,6794,68,80
4,6746,6793,68,80
5,6759,6800,119,78
6,6798,6794,68,64
7,6738,6790,107,81
8,6801,6794,74,109
9,6795,6751,68,80
10,6776,6823,87,91
11,6782,6747,39,49
12,6804,6774,80,58
13,6752,6808,84,72
14,6804,6828,79,80
15,6794,6799,75,60
16,6804,6779,42,39
17,6808,6788,70,97
18,6740,6807,60,88
19,6804,6793,80,64
20,6788,6807,66,112
21,6814,6792,107,91
22,6728,6776,83,80
23,6794,6793,75,60
24,6726,6825,40,76
25,6804,6781,68,80
26,6781,6756,35,81
27,6794,6794,85,80
28,6741,6797,48,127
29,6811,6800,78,80
30,6748,6766,98,73
31,6791,6828,79,79
32,6765,6780,59,84
33,6781,6747,49,98
34,6811,6806,78,83
35,6719,6765,62,134
36,6758,6793,84,64
37,6796,6790,45,28
38,6819,6725,78,90
39,6802,6806,64,40
40,6745,6794,82,89
41,6746,6799,78,80
42,6813,6785,46,70
44,6813,6723,100,125
45,6797,6793,68,86
46,6744,6805,59,108
47,6775,6794,80,64
49,6804,6791,78,86
0,6844,6801,316,351
1,6881,6868,57,23
