,a1,a2,RAAN1,RAAN2,Eval,Users
0,6786,6835,76,137,92262.64798446852,67
1,6786,6772,80,130,60734.06662367677,59
2,6803,6816,80,82,58440.42057585936,37
3,6811,6816,78,82,57193.25090945491,35
4,6795,6835,80,89,52447.19335392655,37
5,6795,6859,137,89,51154.49358522087,28
6,6783,6851,105,123,5247.848928655578,5
7,6793,6834,77,264,50821.870264527155,43
8,6803,6772,80,162,48567.245398538405,40
9,6801,6809,107,124,3557.153012757479,4
10,6803,6834,89,89,19802.880438089713,18
11,6816,6799,90,164,15309.77667133963,14
12,6805,6787,78,96,45909.02461178742,36
13,6794,6834,99,81,43268.74816518022,35
14,6803,6805,103,124,5638.986244383137,6
15,6783,6832,70,193,37920.65421405625,42
16,6810,6798,108,141,15057.864440089255,25
17,6831,6804,61,38,6345.057942739886,8
18,6791,6820,107,114,6213.685386991954,8
19,6838,6808,66,83,44595.43724689811,51
20,6811,6816,78,159,42151.66856474526,35
21,6813,6819,44,174,6180.954615811159,8
22,6786,6772,76,130,60083.49251030132,68
23,6793,6787,89,73,52394.99232563768,59
24,6803,6785,84,132,42335.09796986376,59
25,6818,6779,48,153,5244.986585120529,6
26,6825,6855,89,87,15108.088006837814,11
27,6789,6779,44,136,49357.604104494116,27
28,6809,6794,95,77,49291.949003126814,38
29,6796,6791,102,102,24973.817097583033,5
30,6778,6816,80,82,62365.907522036905,38
31,6789,6793,53,128,16628.317703257602,11
32,6778,6835,80,207,51741.74108523298,39
33,6805,6787,78,207,42772.72383540635,35
34,6793,6834,84,264,38646.55270938024,48
35,6786,6772,80,99,54111.21915431698,39
36,6821,6775,67,87,62977.9860489678,63
37,6803,6834,77,264,47600.17884321239,41
38,6817,6782,52,95,16450.58112367851,15
39,6780,6790,78,201,52461.82757983815,40
40,6778,6835,77,130,49273.69600953353,42
41,6811,6822,89,124,13678.35117899153,14
42,6772,6825,50,136,50083.624911914885,28
43,6803,6816,80,162,47102.04318786546,38
44,6803,6816,82,162,38532.834377349776,38
45,6829,6785,82,162,34370.287765853675,37
46,6779,6832,84,132,42922.48113375057,57
47,6795,6859,80,89,51387.60002628065,37
48,6812,6820,68,195,38343.03869281761,36
49,6805,6787,66,96,30982.378431674202,32
