,sat1,sat2,a1,a2,RAAN1,RAAN2,Eval,Users
0,68,0,6778,6811,137,218,43537.58989647611,21
1,73,0,6778,6821,137,264,43399.8330572104,18
2,80,0,6790,6811,137,218,37040.71481406332,18
3,80,0,6785,6804,76,161,38743.88704658797,14
4,73,0,6778,6811,76,218,37406.014866774574,14
5,46,31,6778,6800,153,254,3013.419094178617,1
6,33,42,6782,6824,164,228,3709.730459463409,2
7,80,0,6790,6834,76,161,39001.03662738881,16
8,51,29,6781,6817,44,298,3400.78387218866,1
9,58,0,6804,6822,79,279,15405.428166038502,11
10,73,0,6778,6811,137,264,43399.8330572104,18
11,62,0,6778,6827,106,197,2365.4159447112256,2
12,80,0,6785,6817,137,264,31015.68542015562,11
13,69,11,6792,6853,135,235,8280.537773076934,8
14,64,0,6787,6792,106,236,2824.6302183446787,2
15,52,28,6790,6846,102,189,4830.518727185263,3
16,68,0,6778,6811,137,229,43537.58989647611,21
17,80,0,6778,6811,137,218,47584.15055362517,21
18,73,0,6778,6811,137,218,43399.8330572104,18
19,80,0,6785,6817,137,218,31015.68542015562,11
20,68,0,6778,6834,76,218,34123.63670906387,15
21,80,0,6778,6834,76,264,40766.08563037353,15
22,71,2,6785,6810,150,249,0.0,0
23,80,0,6790,6804,137,218,37040.71481406332,18
24,80,0,6785,6817,76,218,38743.88704658797,14
25,50,29,6796,6791,67,269,21232.038174009827,13
26,73,0,6778,6811,76,229,37406.014866774574,14
27,80,0,6785,6811,76,161,38743.88704658797,14
28,73,0,6778,6817,137,264,43399.8330572104,18
29,80,0,6778,6790,97,293,5536.435975499282,2
30,63,9,6778,6824,113,214,0.0,0
31,78,0,6795,6806,155,240,0.0,0
32,70,0,6778,6823,173,259,0.0,0
33,61,15,6797,6795,97,168,3015.697941563456,2
34,73,0,6785,6811,137,242,39468.96543303377,20
35,73,0,6785,6821,137,161,39468.96543303377,20
36,80,0,6785,6804,76,264,38743.88704658797,14
37,53,0,6796,6829,58,165,8039.382237311684,4
38,57,19,6778,6816,118,249,722.1109509442304,1
39,73,0,6785,6834,137,242,39468.96543303377,20
40,80,0,6778,6804,76,161,40766.08563037353,15
41,73,0,6778,6811,76,264,37406.014866774574,14
42,80,0,6778,6834,76,218,40766.08563037353,15
43,64,0,6792,6835,44,203,4029.4301129335227,1
44,80,0,6778,6817,76,161,40766.08563037353,15
45,36,44,6801,6812,109,156,0.0,0
46,65,13,6807,6848,77,250,23799.737610721968,12
47,80,0,6778,6817,76,218,40766.08563037353,15
48,73,0,6785,6821,137,264,39468.96543303377,20
49,66,2,6798,6810,64,178,1306.9342286167073,1
50,57,14,6778,6796,165,236,3263.2125415878836,3
51,71,2,6782,6829,161,203,0.0,0
52,53,0,6778,6793,151,245,0.0,0
53,53,0,6779,6798,148,180,0.0,0
54,80,0,6790,6834,137,218,37040.71481406332,18
55,32,43,6784,6851,128,256,1377.9628866383955,1
56,69,3,6778,6821,138,250,11489.269903711633,11
57,80,0,6778,6834,76,229,40766.08563037353,15
58,73,0,6778,6821,137,218,43399.8330572104,18
59,61,0,6794,6806,128,277,0.0,0
60,77,0,6851,6860,227,198,1138.4213994079419,1
61,35,40,6861,6794,176,57,6565.239612116293,5
62,63,0,6806,6864,259,165,7786.821423027426,1
63,69,0,6793,6846,11,3,910.4932857128097,1
64,56,0,6834,6812,21,284,0.0,0
65,70,0,6872,6822,62,149,0.0,0
66,77,0,6872,6792,321,224,4558.328711427706,2
67,78,0,6859,6856,240,189,0.0,0
68,74,0,6835,6844,352,234,4542.710319233454,2
69,37,43,6854,6884,58,251,2910.517045339528,2
70,28,46,6817,6886,19,191,0.0,0
71,62,0,6871,6872,59,49,3864.3771543009952,2
72,31,44,6783,6823,299,305,6954.107918071333,4
73,54,0,6805,6800,325,246,3979.6632460680858,3
74,34,44,6816,6808,187,178,4080.2193531484036,1
75,65,0,6786,6808,307,13,12633.798496021744,6
76,42,31,6847,6808,299,68,0.0,0
77,44,35,6808,6846,18,269,7312.51828451606,4
78,45,32,6833,6855,288,170,0.0,0
79,28,36,6875,6871,353,42,3092.233638224163,2
80,30,46,6778,6780,109,137,27155.38381875994,21
81,44,28,6792,6825,200,36,1965.0490672538585,2
82,80,0,6782,6833,144,3,3154.2102219323656,2
83,39,32,6779,6876,231,289,10995.035532732893,5
84,57,0,6795,6844,31,256,0.0,0
85,79,0,6819,6819,319,146,7359.261722164067,5
86,40,28,6858,6812,32,89,1387.4537937734403,1
87,37,31,6781,6792,340,100,3863.4375277893687,2
88,35,34,6820,6866,270,294,0.0,0
89,51,28,6869,6826,232,22,6236.447451627605,4
90,37,33,6865,6795,205,309,2999.934529120313,3
91,32,38,6807,6788,41,133,1193.6032743092828,1
92,36,28,6882,6886,218,297,0.0,0
93,63,0,6797,6876,176,195,0.0,0
94,47,29,6778,6875,141,182,0.0,0
95,58,0,6851,6786,83,104,0.0,0
96,39,40,6863,6823,272,276,0.0,0
97,73,0,6877,6862,233,205,3914.0035375148514,2
98,65,0,6801,6818,330,18,8026.932324652522,3
99,51,28,6857,6873,323,6,3473.7839778779503,2
