,sat1,sat2,a1,a2,RAAN1,RAAN2,Eval,Users
0,36,31,6807,6865,302,158,2012.7808341970904,2
1,64,0,6848,6785,111,215,833.8011314995019,1
2,72,0,6835,6832,272,10,4227.597714465375,3
3,80,0,6809,6852,297,202,3093.04521610169,3
4,29,33,6831,6863,171,151,0.0,0
5,60,0,6839,6865,289,355,0.0,0
6,72,0,6856,6786,240,124,0.0,0
7,67,0,6846,6865,187,315,14723.974942073837,1
8,69,0,6796,6832,122,341,0.0,0
9,51,29,6885,6799,81,169,1840.2854979075023,1
10,63,0,6864,6811,76,227,19740.17554512728,10
11,35,38,6871,6799,159,337,2149.9808078897004,2
12,35,35,6866,6806,11,125,783.5781855152877,1
13,31,48,6812,6882,248,151,730.1302763939611,1
14,32,30,6788,6865,199,237,3442.3727922298003,2
15,33,35,6796,6835,121,220,770.1694424887392,1
16,28,47,6842,6787,300,141,915.3597724365864,1
17,78,0,6807,6795,49,93,13263.814037564724,4
18,79,0,6786,6834,12,320,3579.250086118358,2
19,43,37,6855,6846,263,81,5711.201630899082,4
20,75,0,6874,6805,155,213,0.0,0
21,58,0,6862,6785,251,101,1050.8436531308107,1
22,61,0,6824,6871,18,270,978.5276867990137,1
23,57,0,6847,6820,275,207,0.0,0
24,33,33,6806,6784,18,344,3622.8175983162105,3
25,62,0,6817,6782,243,352,749.0047017763263,1
26,61,0,6862,6876,346,320,2298.2041684362803,2
27,54,0,6820,6858,31,322,934.1757379493247,1
28,35,38,6797,6859,227,42,7089.328671376681,4
29,59,0,6838,6811,31,201,963.5824769347555,1
30,40,39,6797,6835,59,293,9767.146183769546,4
31,79,0,6784,6799,166,212,3900.8876600700914,2
32,41,28,6887,6796,355,157,7369.295182934721,2
33,75,0,6871,6844,272,81,836.0610714992945,1
34,34,40,6842,6856,174,75,9099.161668059689,6
35,28,45,6827,6885,74,106,5559.526253011066,6
36,72,0,6858,6836,331,259,8104.530590022174,3
37,75,0,6805,6821,135,64,21926.11321005155,20
38,43,28,6881,6848,285,61,902.6060167063551,1
39,75,0,6783,6855,59,142,21408.043186480136,5
40,35,28,6803,6883,350,240,3027.3444448233618,2
41,75,0,6781,6886,110,33,2560.3253000259306,2
42,29,46,6816,6828,358,182,5495.589886635784,3
43,30,49,6885,6796,52,166,2728.1604571168846,3
44,58,0,6854,6827,135,339,1769.5868054049943,2
45,72,0,6859,6818,44,159,5479.227757065829,1
46,55,0,6851,6836,221,95,1020.6726464620369,1
47,36,35,6793,6867,252,227,1033.9974076862272,1
48,36,28,6828,6855,96,235,3301.593310543175,2
49,47,31,6852,6887,51,121,5220.010660721911,3
50,42,33,6851,6816,164,327,3757.4960565358015,1
51,69,0,6856,6808,105,309,902.1763000011924,1
52,50,30,6820,6806,1,273,10628.514323823249,2
53,30,33,6783,6801,198,292,3098.1963024540983,1
54,37,31,6814,6822,45,268,17419.232521414033,7
55,40,31,6852,6784,193,18,0.0,0
56,78,0,6865,6818,51,2,6734.574180377309,3
57,35,32,6855,6835,206,248,1036.6168257934441,1
58,74,0,6838,6845,35,187,1506.771529966807,1
59,57,0,6781,6804,217,199,1042.255904794416,1
60,39,36,6807,6814,140,100,7276.087799130746,2
61,61,0,6815,6795,279,45,984.1353240848441,1
62,75,0,6870,6839,208,313,1134.6203625193557,1
63,55,0,6854,6838,235,104,2789.1929662296498,2
64,75,0,6864,6818,347,60,4172.07963655471,3
65,33,47,6858,6878,336,329,16569.424676552357,6
66,31,47,6799,6783,55,191,16223.05669987093,6
67,35,33,6807,6877,123,236,0.0,0
68,45,29,6831,6860,214,8,3341.9577051004335,3
69,68,0,6862,6825,122,68,0.0,0
70,39,32,6800,6831,177,171,2005.114485558241,1
71,31,41,6887,6867,345,324,3011.013267687008,2
72,60,0,6789,6803,44,187,8616.851119321245,3
73,77,0,6801,6837,74,25,34137.81903882591,16
74,52,28,6836,6868,25,306,5076.5465180406345,3
75,61,0,6809,6846,334,206,16370.083184547217,5
76,54,0,6848,6864,212,165,0.0,0
77,61,0,6879,6846,230,357,4481.414674027879,3
78,44,35,6805,6857,78,199,17611.599360444572,11
79,58,0,6811,6830,274,20,3123.8551448200633,4
80,64,0,6857,6782,149,251,0.0,0
81,74,0,6844,6834,267,319,20901.94560811956,8
82,58,0,6883,6851,333,296,2384.807393760204,1
83,37,35,6801,6787,285,186,2636.50957609724,1
84,77,0,6878,6861,258,71,18753.096135177304,1
85,64,0,6837,6837,297,45,779.65058211049,1
86,79,0,6847,6831,344,233,3898.0732796476905,3
87,72,0,6832,6840,190,103,2486.6464199591887,1
88,45,36,6871,6798,356,94,10202.35381319326,5
89,63,0,6846,6846,298,86,1082.2598899376128,1
90,40,37,6822,6804,236,304,10385.901733348965,8
91,51,29,6864,6880,25,4,2641.383487439046,2
92,32,29,6886,6861,233,63,2863.285866854566,2
93,34,30,6848,6887,336,355,7554.433704745933,4
94,52,28,6842,6838,237,34,0.0,0
95,59,0,6836,6817,342,84,2099.9983013170267,2
96,35,42,6807,6877,331,141,4634.159022370213,2
97,76,0,6852,6834,13,152,2008.275767783558,2
98,43,29,6795,6837,24,131,0.0,0
99,36,36,6839,6812,63,259,10777.683675177652,2
