,a1,a2,RAAN1,RAAN2
0,6805,6768,137,79
3,6856,6789,137,136
4,6767,6819,137,79
5,6866,6795,247,76
6,6767,6781,307,76
7,6836,6786,256,91
9,6855,6801,197,68
10,6811,6766,155,87
11,6870,6793,130,53
12,6852,6788,143,68
13,6886,6781,95,68
14,6872,6771,99,136
15,6852,6779,232,79
16,6855,6768,137,74
17,6794,6792,161,95
18,6821,6782,225,92
19,6852,6789,232,79
20,6801,6816,34,78
21,6842,6770,198,83
22,6876,6792,151,50
23,6787,6759,157,60
24,6868,6780,320,72
25,6855,6783,137,74
26,6845,6759,98,96
27,6773,6815,167,92
28,6779,6800,117,74
29,6927,6771,113,93
31,6843,6786,247,114
32,6788,6783,197,79
33,6848,6781,118,82
34,6852,6797,232,79
35,6793,6750,249,66
36,6767,6768,232,79
37,6788,6770,188,83
38,6811,6783,137,74
39,6804,6744,172,68
40,6775,6802,111,92
41,6833,6806,165,83
43,6871,6819,132,100
44,6868,6814,129,56
45,6866,6798,240,70
46,6748,6803,188,136
47,6856,6781,307,83
48,6825,6772,150,36
49,6852,6788,143,79
0,6819,6804,305,230
1,6880,6783,280,115
2,6820,6844,151,349
3,6883,6806,85,150
4,6882,6789,276,128
