,sat1,sat2,a1,a2,RAAN1,RAAN2
0,74,0,6808,6811,76,229
1,60,0,6778,6837,79,348
3,58,2,6792,6831,77,198
4,77,0,6801,6837,74,25
5,46,30,6820,6865,99,183
6,80,0,6783,6855,315,322
7,63,0,6792,6864,41,171
8,60,0,6799,6837,45,216
9,74,1,6837,6858,233,254
10,74,0,6849,6815,76,229
11,61,18,6778,6822,39,333
12,50,13,6806,6851,40,29
13,63,14,6794,6778,31,275
14,50,28,6804,6860,79,305
15,69,0,6779,6805,85,176
16,45,33,6809,6863,86,229
17,80,0,6799,6820,37,16
18,69,0,6786,6817,55,142
19,60,20,6780,6815,15,354
20,30,32,6798,6779,86,70
21,40,30,6818,6836,75,322
22,67,0,6787,6861,66,167
23,50,28,6794,6778,55,304
24,74,0,6809,6863,258,229
25,58,0,6778,6797,90,148
26,45,11,6804,6856,86,70
27,38,28,6800,6867,293,349
28,62,0,6848,6866,293,245
29,33,33,6778,6834,52,325
30,58,0,6792,6845,65,375
31,44,28,6794,6779,86,70
32,34,30,6818,6871,63,210
33,75,0,6787,6831,54,142
34,30,35,6784,6836,105,169
35,57,15,6810,6796,86,44
36,63,13,6798,6780,94,81
37,69,0,6786,6811,55,229
38,28,40,6778,6835,286,295
39,80,0,6804,6860,231,326
40,40,0,6808,6836,76,229
41,38,15,6821,6846,84,42
42,57,0,6799,6817,54,322
43,61,13,6799,6794,80,34
44,72,0,6804,6849,75,176
45,37,37,6851,6795,211,311
46,46,23,6804,6839,79,49
47,57,12,6849,6857,257,204
48,55,18,6813,6791,44,235
49,30,12,6813,6826,50,15
50,46,13,6778,6818,62,354
51,40,30,6818,6836,75,188
52,69,0,6780,6886,76,318
53,63,4,6787,6866,88,181
54,40,30,6818,6815,75,326
55,67,11,6783,6844,354,336
56,73,0,6794,6885,79,305
57,69,2,6792,6778,55,198
58,55,0,6816,6826,108,190
59,58,14,6795,6830,33,149
60,75,0,6809,6855,315,229
61,51,29,6786,6779,55,70
63,75,0,6787,6817,54,142
64,80,0,6804,6860,55,304
65,55,5,6805,6804,114,254
66,28,48,6821,6845,68,14
67,40,32,6796,6847,78,57
68,35,40,6786,6778,55,304
69,32,41,6812,6778,97,53
70,50,28,6794,6885,76,305
71,42,29,6810,6887,76,171
72,58,0,6798,6881,73,168
73,60,0,6869,6784,109,166
74,65,0,6862,6877,160,110
75,42,37,6863,6798,158,178
76,30,28,6849,6812,333,187
77,62,0,6832,6797,26,67
78,79,0,6800,6784,314,211
79,66,0,6887,6826,292,231
80,54,0,6816,6819,219,94
81,36,44,6823,6865,132,14
82,44,35,6878,6810,291,12
83,47,28,6815,6849,333,288
84,32,30,6863,6799,334,202
85,35,40,6880,6872,270,106
86,67,0,6866,6802,210,181
87,56,0,6796,6849,268,145
88,42,30,6855,6856,91,48
89,59,0,6781,6839,178,315
90,64,0,6805,6838,268,47
91,53,0,6785,6835,284,80
92,65,0,6783,6859,226,4
93,71,0,6817,6861,348,131
94,63,0,6825,6857,233,198
95,45,34,6783,6847,228,318
96,38,37,6850,6832,286,25
97,41,28,6790,6817,162,312
98,75,0,6817,6849,182,227
99,35,41,6816,6819,292,279
0,69,0,6828,6857,262,336
1,57,0,6855,6872,91,140
