,a1,a2,RAAN1,RAAN2,Eval,Users
0,6804,6884,137,11,36654.55354589085,19
1,6783,6819,65,79,35476.97111554945,29
2,6873,6787,239,79,30241.297857738988,20
3,6807,6789,320,69,27302.875040497587,25
4,6856,6781,235,133,11828.794027041396,14
5,6817,6787,226,79,29635.67532076398,18
6,6778,6769,191,254,2834.7355125546746,3
7,6764,6806,259,228,15940.007437303133,13
8,6783,6819,326,79,23251.939400448493,17
9,6803,6847,96,276,1789.1184909094954,3
10,6818,6769,325,274,9295.153704060129,10
11,6763,6829,94,107,5112.73478084626,4
12,6791,6864,58,313,12671.639321905132,8
13,6783,6819,235,133,11432.172016349477,14
14,6874,6781,235,133,11757.115715219385,14
15,6872,6789,327,312,11037.180138620188,8
16,6855,6792,281,292,0.0,0
17,6857,6863,230,246,10465.472245728686,6
18,6856,6781,269,133,19628.112631378015,17
19,6839,6762,318,204,8532.648284078066,8
20,6801,6772,241,236,6121.480990878072,6
21,6850,6781,326,236,8869.009612979848,9
22,6783,6821,269,79,23509.544053996528,14
23,6850,6806,235,133,7770.411513787026,11
24,6800,6772,248,277,2699.3685221115893,5
25,6871,6797,239,172,597.160247238462,1
26,6841,6909,268,297,16930.20677855511,9
27,6868,6806,279,140,6803.2575620632215,9
28,6791,6864,58,268,16514.570664132112,9
29,6822,6765,134,248,4768.170101004347,5
30,6855,6816,209,230,5878.757458875261,3
31,6802,6801,102,47,6011.5875074740325,3
32,6869,6810,255,95,1977.8209791179936,2
33,6841,6794,268,261,17342.074505597673,7
34,6852,6780,340,212,1182.4340661592287,2
35,6856,6789,269,79,35854.42849314829,20
36,6835,6763,304,237,8445.563029380504,8
37,6835,6767,279,235,7736.959381060052,7
38,6854,6825,237,43,4926.007616499981,3
39,6786,6789,320,266,14610.799122764587,12
40,6887,6799,333,140,13840.638361430822,18
41,6884,6821,259,305,11070.668657487942,6
42,6873,6787,239,133,14024.260864244285,17
43,6876,6780,360,152,4062.273353783905,3
44,6804,6788,137,11,20330.269935525255,11
45,6862,6784,258,104,2682.2062693490952,2
46,6850,6781,326,312,11972.29367410211,9
47,6864,6803,226,102,4773.451527315221,3
48,6797,6799,25,54,10371.93611284636,5
49,6842,6842,281,92,2381.3472016593037,2
